Star Trek | Action, Adventure, Sci-Fi | 2h 7min | J.J. Abrams | Chris Pine, Zachary Quinto, Simon Pegg
Beartrek | Documentary, Adventure | 1h 26min | Chris Morgan, Joe Pontecorvo | Robyn Appleton, Nick Lunn, Chris Morgan
Star Trek: Operation Beta Shield | Action, Fantasy, Sci-Fi | 1h 7min | Jennifer Cole | Risha Denney, Nick Cook, Karl Puder
Star Trek: Enterprise - In Conversation - The First Crew | Documentary | 1h 30min | Roger Lay Jr. | Nina Xining Zuo, Scott Bakula, John Billingsley
Star Trek: The Journey to the Silver Screen | Documentary | 2h 30min | Roger Lay Jr. | Mark A. Altman, Richard Arnold, Thomas Barron
Star Trek: Incident at Beta 9 | Sci-Fi | 57min | George Kayaian | Michael J. Arbouet, Keith Dallas, Jody Hessel
Star Trek Enterprise II: Der Anfang vom Ende | Animation, Sci-Fi | 58min | Jürgen Kaiser | Rick Berman, Brannon Braga
Mr. Plinkett's Star Trek 2009 Review | Comedy | 1h 7min | Mike Stoklasa | Mike Stoklasa
Secret Games: A Star Trek Fan Production | Drama, Sci-Fi |  | Anna Stefankova | Jana Krcmarova, Terezie Holesinska, Anna Stefankova
In Conversation: The Star Trek Art Department | Documentary |  | Roger Lay Jr. | Dan Curry, Michael Okuda, Rick Sternbach
In Conversation: Writing Star Trek: Enterprise | Documentary | 1h 37min | Roger Lay Jr. | Chris Black, André Bormanis, Brannon Braga
Star Trek: The Next Generation - The Sky's the Limit - The Eclipse of Star Trek: The Next Generation | Documentary | 1h 30min | Roger Lay Jr. | Rick Berman, Brannon Braga, LeVar Burton
Relativity: The Family Saga of Star Trek - The Next Generation | Documentary |  | Roger Lay Jr. | Rick Berman, Brannon Braga, LeVar Burton
Stardate Revisited: The Origin of Star Trek - The Next Generation | Documentary | 1h 35min | Roger Lay Jr. | Rick Berman, LeVar Burton, James L. Conway
12 Minds, A Star Trek Fan Film | Drama, Sci-Fi | 1h 17min | Jan Kratky | Miro Miksik, Vladimir Novotny, Radek Belina
Resistance Is Futile: Assimilating Star Trek -The Next Generation | Documentary | 1h 30min | Roger Lay Jr. | Ira Steven Behr, Rick Berman, LeVar Burton
In Conversation: The Music of Star Trek - The Next Generation | Documentary | 1h | Roger Lay Jr. | Jay Chattaway, Ron Jones, Dennis McCarthy
Star Trek: The Next Generation - Inside the Writer's Room | Documentary | 1h 11min | Roger Lay Jr. | Brannon Braga, René Echevarria, Seth MacFarlane
Reset - Restart | Documentary |  | Judith Lichtneckert | 
Woman in Motion | Documentary | 1h 45min | Todd Thompson | Vivica A. Fox, Michael Dorn, Ashley Eckstein
Beyond the Five Year Mission: The Evolution of Star Trek - The Next Generation | Documentary | 1h 30min | Roger Lay Jr. | Frank Abatemarco, Rick Berman, LeVar Burton
Pohádka o staré tramvaji | Family, Fantasy |  | Jirina Bohdalová, Zdenek Deyl, Eman Fiala | 
Angelina Ballerina: Shining Star Trophy Movie |  | 1h 10min | Jules de Jongh, Beverly Klein, Simon Mattacks | 
Turist Ömer Uzay Yolu'nda | Comedy, Sci-Fi | 1h 12min | Hulki Saner | Sadri Alisik, Erol Amaç, Cemil Sahbaz
Star Quest: The Odyssey | Sci-Fi | 1h 21min | Jon Bonnell | Aaron Ginn-Forsberg, Davina Joy, Tamara McDaniel
Trek Nation | Documentary | 1h 28min | Scott Colthorp | J.J. Abrams, Indira Addington, Sallie Baliunas
